Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Rathnelly,43.6774724,-79.4004598,Martino's Pizza,43.67555992434719,-79.40355789179394,Pizza Place
Rathnelly,43.6774724,-79.4004598,Tim Hortons,43.67579963362535,-79.40353178302757,Coffee Shop
Rathnelly,43.6774724,-79.4004598,Nick's Shoe Repair,43.67545678667541,-79.40367473945305,Shoe Repair
Rathnelly,43.6774724,-79.4004598,Glen Edyth Drive Parkette,43.678294119509026,-79.40486760901251,Park
Rathnelly,43.6774724,-79.4004598,Roycroft Park,43.680331576108834,-79.40394409844201,Park
Deer Park,43.68809,-79.3940935,The Bagel House,43.68737388880937,-79.39369634343205,Bagel Shop
Deer Park,43.68809,-79.3940935,Cava Restaurant,43.68980938323509,-79.39493224929409,Tapas Restaurant
Deer Park,43.68809,-79.3940935,9bars,43.68865967473641,-79.3919401630648,Café
Deer Park,43.68809,-79.3940935,DAVIDsTEA,43.68837613284745,-79.3941583717053,Tea Room
Deer Park,43.68809,-79.3940935,Capocaccia Café,43.68591480236428,-79.39330539038971,Italian Restaurant
Deer Park,43.68809,-79.3940935,Union Social Eatery,43.68789522205706,-79.39491559605742,American Restaurant
Deer Park,43.68809,-79.3940935,Moksha Yoga Uptown,43.68879873115129,-79.39448444489447,Yoga Studio
Deer Park,43.68809,-79.3940935,Vita Integrative Health Clinic,43.68949970008044,-79.39474412970407,Chiropractor
Deer Park,43.68809,-79.3940935,Mary Be Kitchen,43.687708,-79.395062,Restaurant
Deer Park,43.68809,-79.3940935,Sunny Morning Breakfast & Lunch,43.68651181729649,-79.39350718774527,Breakfast Spot
Deer Park,43.68809,-79.3940935,Kwan Restaurant,43.688737166789785,-79.39435863931413,Cantonese Restaurant
Deer Park,43.68809,-79.3940935,Aroma Espresso Bar,43.68714526310894,-79.39352053736978,Café
Deer Park,43.68809,-79.3940935,Daeco Sushi,43.68783769992881,-79.39565249242683,Sushi Restaurant
Deer Park,43.68809,-79.3940935,Starbucks,43.68897750497123,-79.39447531162465,Coffee Shop
Deer Park,43.68809,-79.3940935,Schnitzel HUB,43.687378678206514,-79.39368318065463,German Restaurant
Deer Park,43.68809,-79.3940935,Sobeys Urban Fresh,43.68867787962371,-79.39086883114751,Grocery Store
Deer Park,43.68809,-79.3940935,LCBO,43.686990631074885,-79.39923810519545,Liquor Store
Deer Park,43.68809,-79.3940935,Spiga,43.686392572989696,-79.3933537239149,Italian Restaurant
Deer Park,43.68809,-79.3940935,GoodLife Fitness,43.689617053158216,-79.39469469920937,Gym
Deer Park,43.68809,-79.3940935,The Market By Longo’s,43.686711,-79.399536,Supermarket
Deer Park,43.68809,-79.3940935,Sushi Garden,43.68988255810127,-79.39490102169809,Sushi Restaurant
Deer Park,43.68809,-79.3940935,Swiss Chalet,43.68958705003143,-79.39477502747775,Restaurant
Deer Park,43.68809,-79.3940935,GoodLife Fitness Toronto Yonge and St Clair,43.688661421715274,-79.39359629095868,Gym
Deer Park,43.68809,-79.3940935,Boccone Deli Cafe & Pizza,43.68642063905161,-79.39344268093778,Italian Restaurant
Deer Park,43.68809,-79.3940935,Baklawa Queen,43.686734,-79.393558,Bakery
Deer Park,43.68809,-79.3940935,Shoppers Drug Mart,43.68931821585906,-79.39449256272519,Pharmacy
Deer Park,43.68809,-79.3940935,Nove Trattoria,43.68679543165231,-79.39360906397091,Italian Restaurant
Deer Park,43.68809,-79.3940935,Hero Certified Burgers,43.687117820671794,-79.39355904327628,Burger Joint
Deer Park,43.68809,-79.3940935,New Thai Restaurant,43.68886917362422,-79.39116302160036,Thai Restaurant
Deer Park,43.68809,-79.3940935,Fionn MacCool's,43.68792137317272,-79.39478325313542,Pub
Deer Park,43.68809,-79.3940935,Subway,43.688867768260224,-79.39445009448916,Sandwich Place
Deer Park,43.68809,-79.3940935,Cineplex Entertainment - Head Office,43.68431404669034,-79.39228547302746,Movie Theater
Deer Park,43.68809,-79.3940935,Barnsteiner's,43.685881,-79.39322,Modern European Restaurant
Deer Park,43.68809,-79.3940935,Suki Japanese Cuisine,43.68866817066987,-79.3918540007956,Japanese Restaurant
Deer Park,43.68809,-79.3940935,Popeyes Louisiana Kitchen,43.6893,-79.395302,Fried Chicken Joint
Deer Park,43.68809,-79.3940935,Second Cup,43.688257261406534,-79.39377786984645,Coffee Shop
Deer Park,43.68809,-79.3940935,Raiders E-Sports Centre,43.687682915990386,-79.39594439646025,Sports Bar
Deer Park,43.68809,-79.3940935,Scallywags,43.687981749962695,-79.39467568457059,Pub
Deer Park,43.68809,-79.3940935,Tim Hortons,43.687682,-79.39684,Coffee Shop
Deer Park,43.68809,-79.3940935,Subway,43.6886981251478,-79.392031084113,Sandwich Place
Deer Park,43.68809,-79.3940935,Starbucks,43.68631193721994,-79.39328104306495,Coffee Shop
Deer Park,43.68809,-79.3940935,TD Canada Trust,43.68831188747696,-79.39384818077093,Bank
Deer Park,43.68809,-79.3940935,Pizza Pizza,43.68955487823723,-79.39465657034644,Pizza Place
Deer Park,43.68809,-79.3940935,Pizzaiolo,43.68799051263145,-79.39463424218918,Pizza Place
Deer Park,43.68809,-79.3940935,Second Cup,43.689814161995294,-79.39481084620539,Coffee Shop
Deer Park,43.68809,-79.3940935,Midtown Gastro Hub,43.69003476292464,-79.3948531473005,Gastropub
Deer Park,43.68809,-79.3940935,Starbucks,43.687100712578356,-79.39861193331016,Coffee Shop
Deer Park,43.68809,-79.3940935,Loblaws,43.68870042061285,-79.39337242460877,Grocery Store
Deer Park,43.68809,-79.3940935,Sprout,43.687995609133544,-79.39465149552744,Vietnamese Restaurant
